Month,GDP,GDP growth,Inflation,Interest Rate,Unemployment Rate 
2017-01,,2.37,2.13,0.75,6.90
2017-02,,2.90,2.05,0.75,6.60
2017-03,,3.43,1.56,0.75,6.70
2017-04,,3.97,1.64,0.75,6.50
2017-05,,3.62,1.32,0.75,6.60
2017-06,,3.28,1.01,0.75,6.50
2017-07,,2.93,1.16,1.00,6.30
2017-08,,2.91,1.40,1.00,6.20
2017-09,,2.89,1.55,1.25,6.20
2017-10,,2.88,1.39,1.25,6.30
2017-11,,2.84,2.10,1.25,6.20
2017-12,,2.81,1.87,1.25,6.00
2018-01,,2.78,1.70,1.50,5.90
2018-02,,2.69,2.16,1.50,6.00
2018-03,,2.59,2.31,1.50,5.80
2018-04,,2.50,2.22,1.50,5.80
2018-05,,2.66,2.22,1.50,5.90
2018-06,,2.82,2.45,1.50,6.00
2018-07,,2.99,2.99,1.75,5.90
2018-08,,2.89,2.84,1.75,6.00
2018-09,,2.80,2.22,1.75,5.80
2018-10,,2.71,2.44,2.00,5.60
2018-11,,2.40,1.68,2.00,5.70
2018-12,,2.08,1.99,2.00,5.60
2019-01,,1.77,1.44,2.00,5.70
2019-02,,1.88,1.51,2.00,5.80
2019-03,,1.98,1.88,2.00,5.80
2019-04,,2.09,2.03,2.00,5.70
2019-05,,2.01,2.40,2.00,5.50
2019-06,,1.94,2.02,2.00,5.60
2019-07,,1.86,2.01,2.00,5.70
2019-08,,1.88,1.94,2.00,5.70
2019-09,,1.89,1.87,2.00,5.60
2019-10,,1.91,1.86,2.00,5.60
2019-11,,1.17,2.17,2.00,5.90
2019-12,,0.43,2.25,2.00,5.60
2020-01,,-0.32,2.40,2.00,5.50
2020-02,,-4.29,2.16,2.00,5.80
2020-03,,-8.27,0.89,1.00,8.50
2020-04,,-12.24,-0.22,0.50,13.70
2020-05,,-9.67,-0.37,0.50,14.20
2020-06,,-7.11,0.66,0.50,12.60
2020-07,,-4.54,0.15,0.50,10.90
2020-08,,-4.03,0.15,0.50,10.10
2020-09,,-3.53,0.51,0.50,9.10
2020-10,,-3.02,0.66,0.50,9.00
2020-11,,-1.82,0.95,0.50,8.60
2020-12,,-0.61,0.73,0.50,8.90
2021-01,,0.59,1.02,0.50,9.20
2021-02,,4.69,1.09,0.50,8.50
2021-03,,8.79,2.20,0.50,7.70
2021-04,,12.89,3.39,0.50,8.20
2021-05,,10.45,3.60,0.50,8.30
2021-06,,8.02,3.06,0.50,7.90
2021-07,,5.58,3.72,0.50,7.40
2021-08,,5.55,4.09,0.50,7.10
2021-09,,5.52,4.38,0.50,7.00
2021-10,,5.49,4.65,0.50,6.50
2021-11,,5.26,4.72,0.50,6.10
2021-12,,5.03,4.80,0.50,5.90
2022-01,,4.79,5.14,0.50,6.40
2022-02,,5.23,5.69,0.50,5.50
2022-03,,5.67,6.66,0.75,5.40
2022-04,,6.11,6.77,1.25,5.40
2022-05,,5.69,7.73,1.25,5.20
2022-06,,5.28,8.13,1.75,4.90
2022-07,,4.86,7.59,2.75,4.80
2022-08,,4.26,7.01,2.75,5.20
2022-09,,3.67,6.86,3.50,5.10
2022-10,,3.08,6.88,3.50,5.10
2022-11,,3.08,6.80,4.00,5.00
2022-12,,3.09,6.32,4.50,5.00
2023-01,,3.09,5.92,4.50,5.10
2023-02,,2.76,5.25,4.75,5.20
2023-03,,2.43,4.30,4.75,5.10
2023-04,,2.10,4.41,4.75,5.10
2023-05,,1.84,3.36,4.75,5.20
2023-06,,1.58,2.81,5.00,5.40
2023-07,,1.33,3.27,5.25,5.40
2023-08,,1.32,4.00,5.25,5.40
2023-09,,1.32,3.80,5.25,5.50
2023-10,,1.32,3.12,5.25,5.70
2023-11,,1.21,3.12,5.25,5.80
2023-12,,1.10,3.40,5.25,5.80
2024-01,,0.99,2.86,5.25,5.70
2024-02,,1.21,2.78,5.25,5.90
2024-03,,1.43,2.90,5.25,6.10
2024-04,,1.65,2.69,5.25,6.20
2024-05,,1.91,2.87,5.25,6.30
2024-06,,2.17,2.67,5.00,6.40
2024-07,,2.44,2.53,4.75,6.40
2024-08,,2.66,1.95,4.75,6.60
2024-09,,2.88,1.64,4.50,6.50
2024-10,,3.10,2.02,4.00,6.60
2024-11,,3.03,1.89,4.00,7.00
2024-12,,2.96,1.83,3.50,6.70
2025-01,,2.88,1.90,3.50,6.70
