Month,GDP,GDP Growth,Inflation,Interest rate,Unemployment Rate 
2017-01,19398.34,0.186624187,2.0612,0.65,5.14
2017-02,19434.55,0.18627655,1.8448,0.66,4.95
2017-03,19470.75,0.185930206,2.0814,0.79,4.56
2017-04,19506.95,0.262841377,4.3713,0.90,4.10
2017-05,19558.22,0.262152332,4.0826,0.91,4.11
2017-06,19609.49,0.261466891,3.6401,1.04,4.49
2017-07,19660.77,0.375682209,3.9038,1.15,4.60
2017-08,19734.63,0.37427612,3.5550,1.16,4.53
2017-09,19808.49,0.372880517,3.7341,1.15,4.07
2017-10,19882.35,0.271136601,4.4037,1.15,3.89
2017-11,19936.26,0.270403438,4.5557,1.16,3.92
2017-12,19990.17,0.26967423,3.9192,1.30,3.93
2018-01,20044.08,0.176941714,3.7006,1.41,4.49
2018-02,20079.54,0.176629183,3.9298,1.42,4.39
2018-03,20115.01,0.176317754,3.5256,1.51,4.13
2018-04,20150.48,0.207899142,1.9951,1.69,3.68
2018-05,20192.37,0.207467818,2.1961,1.70,3.56
2018-06,20234.26,0.20703828,2.3884,1.82,4.17
2018-07,20276.15,0.04721474,2.2104,1.91,4.11
2018-08,20285.73,0.047192458,2.2494,1.91,3.93
2018-09,20295.30,0.047170197,2.2306,1.95,3.56
2018-10,20304.87,0.208106027,2.2077,2.19,3.55
2018-11,20347.13,0.207673846,2.3350,2.20,3.47
2018-12,20389.39,0.207243455,2.4526,2.27,3.71
2019-01,20431.64,0.278381947,2.5907,2.40,4.40
2019-02,20488.52,0.277609133,2.8934,2.40,4.07
2019-03,20545.40,0.276840598,3.5421,2.41,3.92
2019-04,20602.28,0.390000619,2.8241,2.42,3.32
2019-05,20682.62,0.388485523,3.2616,2.39,3.38
2019-06,20762.97,0.386982153,3.2201,2.38,3.83
2019-07,20843.32,0.227292623,3.8097,2.40,3.97
2019-08,20890.70,0.226777175,4.0632,2.13,3.78
2019-09,20938.07,0.22626406,3.7850,2.04,3.33
2019-10,20985.45,-0.438773891,3.0828,1.83,3.35
2019-11,20893.37,-0.440707601,3.0347,1.55,3.31
2019-12,20801.29,-0.44265843,2.9070,1.55,3.36
2020-01,20709.21,-2.625594832,3.0040,1.55,3.98
2020-02,20165.47,-2.696391138,3.0780,1.58,3.79
2020-03,19621.73,-2.771111133,3.4829,0.65,4.53
2020-04,19077.99,2.587426392,3.6816,0.05,14.44
2020-05,19571.62,2.522167173,3.2587,0.05,12.99
2020-06,20065.25,2.460118862,3.5426,0.08,11.23
2020-07,20558.88,0.37783837,3.4657,0.09,10.46
2020-08,20636.56,0.376416126,3.2496,0.10,8.54
2020-09,20714.24,0.375004548,3.2798,0.09,7.67
2020-10,20791.92,0.465272154,3.3609,0.09,6.59
2020-11,20888.66,0.463117397,3.6143,0.09,6.40
2020-12,20985.40,0.460982507,3.9261,0.09,6.50
2021-01,21082.13,0.567297093,4.5129,0.09,6.81
2021-02,21201.73,0.564096987,4.3672,0.08,6.55
2021-03,21321.33,0.560932782,3.9042,0.07,6.18
2021-04,21440.93,0.275017623,3.9124,0.07,5.75
2021-05,21499.90,0.274263351,4.2112,0.06,5.50
2021-06,21558.86,0.273513204,4.3324,0.08,6.09
2021-07,21617.83,0.571918388,4.0955,0.10,5.66
2021-08,21741.46,0.568666082,4.2597,0.09,5.29
2021-09,21865.10,0.565450556,4.5802,0.08,4.56
2021-10,21988.74,-0.084932876,5.0361,0.08,4.26
2021-11,21970.06,-0.085005073,5.1165,0.08,3.90
2021-12,21951.39,-0.085077393,5.1807,0.08,3.69
2022-01,21932.71,0.052182334,4.3655,0.08,4.00
2022-02,21944.16,0.052155118,4.9016,0.08,3.80
2022-03,21955.60,0.052127931,4.9027,0.20,3.60
2022-04,21967.05,0.240633185,5.1245,0.33,3.60
2022-05,22019.91,0.240055532,5.3977,0.77,3.60
2022-06,22072.77,0.239480645,5.4478,1.21,3.60
2022-07,22125.63,0.23008013,5.4493,1.68,3.50
2022-08,22176.53,0.229551976,6.0503,2.33,3.70
2022-09,22227.44,0.229026242,5.6022,2.56,3.50
2022-10,22278.35,0.241283632,5.1951,3.08,3.70
2022-11,22332.10,0.240702856,5.4226,3.78,3.60
2022-12,22385.85,0.240124868,5.3597,4.10,3.50
2023-01,22439.61,0.209290653,5.7446,4.33,3.40
2023-02,22486.57,0.208853542,5.4378,4.57,3.60
2023-03,22533.54,0.208418253,5.3333,4.65,3.50
2023-04,22580.50,0.384535346,5.0583,4.83,3.40
2023-05,22667.33,0.383062336,5.0583,5.06,3.70
2023-06,22754.16,0.381600568,4.4628,5.08,3.60
2023-07,22840.99,0.281352382,4.3435,5.12,3.50
2023-08,22905.25,0.280563011,3.9433,5.33,3.80
2023-09,22969.52,0.279778058,4.2357,5.33,3.80
2023-10,23033.78,0.069953781,4.9024,5.33,3.80
2023-11,23049.89,0.06990488,4.5476,5.33,3.70
2023-12,23066.01,0.069856047,4.4011,5.33,3.70
2024-01,23082.12,0.295162098,4.2251,5.33,3.70
2024-02,23150.25,0.294293455,4.4249,5.33,3.90
2024-03,23218.38,0.29342991,4.2017,5.33,3.90
2024-04,23286.51,0.274926007,4.1127,5.33,3.90
2024-05,23350.53,0.274172236,4.6050,5.33,3.90
2024-06,23414.55,0.273422588,4.9851,5.33,4.10
2024-07,23478.57,0.153291562,4.9401,5.33,4.20
2024-08,23514.56,0.153056939,5.2160,5.33,4.20
2024-09,23550.55,0.152823032,4.9626,5.13,4.10
